time,open,high,low,close,EMA,EMA,S1,R1,RSI Cloud Lead,RSI Cloud Base,RSI Overbought ,Signal RSI Overbought,RSI Oversold,Signal RSI Oversold,Baseline,Cloud Flip Bullish,Cloud Flip Bearish,RSI
1770135300,25552.25,25575,25493.5,25496.75,25694.99617575464,25628.013961949702,25949,25180.25,20.24819440482787,26.88606233675368,70,75,30,25,50,,,20.367498794376417
1770136200,25496.75,25534.25,25478.5,25503.75,25669.496685654023,25603.16116955976,25949,25180.25,21.109384972264785,26.163656751569455,70,75,30,25,50,,,21.46802044787198
1770137100,25504.25,25527,25465.75,25491.75,25645.79712756682,25580.87893564781,25949,25180.25,21.079980481877715,25.4663579196049,70,75,30,25,50,,,20.933915511835295
1770138000,25491.5,25502.25,25401,25419.25,25615.590843891245,25548.553148518247,25949,25180.25,18.666654836109863,24.473160551783934,70,75,30,25,50,,,18.01737766094766
1770138900,25420,25466,25407.25,25415.25,25588.878731372413,25521.8925188146,25949,25180.25,17.34250635637221,23.59266645953453,70,75,30,25,50,,,17.869454859913404
1770139800,25415.25,25422.25,25344.5,25359,25558.22823385609,25489.314015051677,25949,25180.25,15.1449801992755,22.5660929712055,70,75,30,25,50,,,15.893365297066794
1770140700,25358.25,25428,25353.5,25387.25,25535.43113600861,25468.901212041343,25949,25180.25,18.44172696524524,22.309269270214006,70,75,30,25,50,,,20.639915213769314
1770141600,25387,25424,25326.25,25333.5,25508.506984540796,25441.820969633074,25949,25180.25,18.099774117801218,21.801444622804908,70,75,30,25,50,,,18.500584414645772
1770142500,25333.75,25367.25,25311.75,25331.25,25484.872719935356,25419.706775706458,25949,25180.25,17.850098702122764,21.349857419759353,70,75,30,25,50,,,18.41454059996323
1770143400,25331,25331.5,25282.5,25290.25,25458.923023943975,25393.815420565166,25949,25180.25,16.32993423180981,20.753134876258677,70,75,30,25,50,,,16.874438343504295
1770144300,25290,25296.5,25246,25246.25,25430.566620751444,25364.302336452132,25949,25180.25,14.343338275417107,20.037668067254042,70,75,30,25,50,,,15.387133808723917
1770145200,25246,25326,25218,25323,25416.224404651253,25356.041869161705,25949,25180.25,24.39742127076771,21.020169923125934,70,75,30,25,50,,,27.406431986293242
1770146100,25323.25,25359.25,25278.5,25295.25,25400.094484031088,25343.883495329363,25949,25180.25,27.76872615206385,21.68014773823075,70,75,30,25,50,,,25.970003536412065
1770147000,25294.75,25324.25,25260.5,25269,25382.615219493608,25328.90679626349,25949,25180.25,27.961139402922406,22.076618088484604,70,75,30,25,50,,,24.65367536513466
1770147900,25268.75,25329.5,25234.25,25316.75,25373.833190227793,25326.47543701079,25949,25180.25,34.13238554611406,23.327645122848224,70,75,30,25,50,,,31.459320846211767
1770148800,25316.25,25327,25269.5,25309.5,25365.255431530753,25323.080349608634,25949,25180.25,36.631896502917414,24.350819718879965,70,75,30,25,50,,,31.00145459308628
1770149700,25309,25343.5,25284,25330.5,25360.62137399332,25324.564279686907,25949,25180.25,40.605244575036544,25.637102940121967,70,75,30,25,50,,,33.997943878194974
1770150600,25330.25,25421.75,25328.5,25392.5,25364.871857460876,25338.151423749525,25949,25180.25,49.12105977809722,27.819591933404407,70,75,30,25,50,,,42.00577038974027
1770151500,25392.5,25459.25,25385.5,25445.25,25375.58894313276,25359.57113899962,25949,25180.25,57.39384643804212,30.484683634900104,70,75,30,25,50,,,47.80777969462214
1770152400,25445.5,25472.5,25435.75,25447.75,25385.210417381724,25377.206911199697,25949,25180.25,61.70828785140664,32.82978295196672,70,75,30,25,50,,,48.07292851289971
1770153300,25448,25478,25380.5,25425.25,25390.549028397494,25386.815528959756,25949,25180.25,60.623530380940224,34.56140368538029,70,75,30,25,50,,,45.816938452568515
1770154200,25424.75,25428,25400.5,25414.5,25393.74249127783,25392.352423167806,25949,25180.25,58.53609979914958,35.91811259867375,70,75,30,25,50,,,44.736720535081226
1770155100,25415,25423.25,25401.25,25421.5,25397.443492440787,25398.181938534246,26027.75,25218,58.318396552602735,37.21377017720151,70,75,30,25,50,,,45.63554443763197
1770159600,25390.25,25422.25,25361.5,25421,25400.58436011535,25402.745550827396,26027.75,25218,58.118004203874754,38.32907026171591,70,75,30,25,50,,,45.57852081105953
1770160500,25420.75,25441.5,25388,25395,25399.839778766636,25401.196440661915,26027.75,25218,53.37028957685243,38.89822952683805,70,75,30,25,50,,,42.59776475013196
1770161400,25394.75,25402.75,25385.25,25400.5,25399.92780826442,25401.05715252953,26027.75,25218,51.97513222158703,39.503854025717715,70,75,30,25,50,,,43.440413268435506
1770162300,25399.5,25434.25,25388.75,25427.75,25403.637433829164,25406.395722023626,26027.75,25218,55.7371182557825,40.57650210600802,70,75,30,25,50,,,47.548714627895016
1770163200,25427.25,25434.25,25390.25,25403.75,25403.652442651943,25405.8665776189,26027.75,25218,52.964279364291166,41.09750246335462,70,75,30,25,50,,,44.48400478610751
1770164100,25404.75,25435.25,25398,25406.75,25404.06545029835,25406.04326209512,26027.75,25218,52.133335160153955,41.61270836204646,70,75,30,25,50,,,44.961546703543405
1770165000,25406.5,25428.75,25395.5,25400.25,25403.5567235919,25404.884609676097,26027.75,25218,50.3488209395902,41.941264229556694,70,75,30,25,50,,,44.07687736837321
1770165900,25401.25,25411.5,25375.5,25376.5,25399.949160446315,25399.207687740876,26027.75,25218,44.95599572359101,41.80369653749454,70,75,30,25,50,,,40.90950653909051
1770166800,25376,25443.25,25375.5,25437.75,25404.989272386807,25406.9161501927,26027.75,25218,53.078117997414495,42.995290078492204,70,75,30,25,50,,,50.74064809497702
1770167700,25437.5,25452.25,25432.5,25444,25410.19070273523,25414.33292015416,26027.75,25218,57.93221039994742,44.14592894781078,70,75,30,25,50,,,51.62508159838155
1770168600,25444.5,25455,25423,25431,25412.965275703868,25417.66633612333,26027.75,25218,57.526165653957264,44.87701584294062,70,75,30,25,50,,,49.629080661284604
1770169500,25430.75,25444.75,25413.75,25439,25416.436572276685,25421.933068898663,26027.75,25218,58.62774500062367,45.67841296432727,70,75,30,25,50,,,50.8874942533405
1770170400,25440,25473.5,25440,25455.25,25421.611695973126,25428.59645511893,26027.75,25218,61.716125664559925,46.712280671770415,70,75,30,25,50,,,53.432420770150834
1770171300,25455.5,25464.75,25415,25425.5,25422.130136510044,25427.977164095144,26027.75,25218,56.388128132364116,46.94791240777152,70,75,30,25,50,,,48.4795186917787
1770172200,25425.5,25437.5,25406.25,25423,25422.246118308703,25426.981731276115,26027.75,25218,53.20409285956653,47.09835389722144,70,75,30,25,50,,,48.07622357864598
1770173100,25423.25,25429.5,25398.75,25413.5,25421.079969200877,25424.285385020892,26027.75,25218,49.540606216131714,47.01769726136244,70,75,30,25,50,,,46.493429128278926
1770174000,25412.75,25433,25402.75,25423.5,25421.402639974094,25424.128308016712,26027.75,25218,50.2073024774146,47.204472381593924,70,75,30,25,50,,,48.41851066309853
1770174900,25423.25,25436.5,25407.5,25423,25421.61562131088,25423.90264641337,26027.75,25218,50.40439074288091,47.353861516187465,70,75,30,25,50,,,48.32489089104548
1770175800,25423,25452.5,25422,25430.75,25422.83353846943,25425.2721171307,26027.75,25218,52.68420839506359,47.698757578471145,70,75,30,25,50,,,49.94058198331508
1770176700,25431.5,25436.25,25411.5,25433.25,25424.222400006838,25426.86769370456,26027.75,25218,54.54845514737514,48.069386244880334,70,75,30,25,50,,,50.47847257654007
1770177600,25433.5,25442,25424.75,25432.5,25425.326080005925,25427.99415496365,26027.75,25218,55.16655337082551,48.36731394821276,70,75,30,25,50,,,50.30384401987355
1770178500,25432,25435.25,25417,25424.25,25425.1826026718,25427.24532397092,26027.75,25218,51.98867507263357,48.361469653704305,70,75,30,25,50,,,48.32348173939936
1770179400,25424.25,25448.5,25423.25,25439.5,25427.091588982228,25429.696259176737,26027.75,25218,55.83476804679134,48.85714041480008,70,75,30,25,50,,,52.07900036192262
1770180300,25439,25442,25423.25,25433.5,25427.9460437846,25430.45700734139,26027.75,25218,55.107524580631015,49.07929107770654,70,75,30,25,50,,,50.52327038659854
1770181200,25434,25437,25416,25421.5,25427.086571279986,25428.66560587311,26027.75,25218,50.076402221106775,48.864595414493365,70,75,30,25,50,,,47.46907360360769
1770182100,25421.75,25438.25,25420.75,25430.5,25427.54169510932,25429.032484698488,26027.75,25218,51.149078565633545,49.00458908151586,70,75,30,25,50,,,49.914547917162096
1770183000,25431.5,25435.25,25408.25,25429.5,25427.80280242808,25429.12598775879,26027.75,25218,51.250764780216066,49.089049434152074,70,75,30,25,50,,,49.63804172628747
1770183900,25430,25443.5,25427.5,25442.75,25429.795762104335,25431.850790207034,26027.75,25218,56.27973616092477,49.654151760697395,70,75,30,25,50,,,53.327316883242
1770184800,25443.25,25465.75,25435.25,25461,25433.95632715709,25437.680632165626,26027.75,25218,63.5819390746206,50.75382756498211,70,75,30,25,50,,,57.90172029283278
1770185700,25461.25,25462.75,25435.75,25455.75,25436.86215020281,25441.2945057325,26027.75,25218,64.51500384843953,51.47937410379352,70,75,30,25,50,,,56.19542660606767
1770186600,25456,25479,25447,25476.75,25442.18053017577,25448.385604586,26027.75,25218,69.53479650028879,52.76608647520564,70,75,30,25,50,,,61.129716889384454
1770187500,25475.75,25489.75,25466.5,25470.5,25445.956459485667,25452.8084836688,26027.75,25218,68.91931360705273,53.597223961346224,70,75,30,25,50,,,58.99961762125999
1770188400,25470.75,25491,25468.25,25485.5,25451.228931554244,25459.34678693504,26027.75,25218,71.62466189940764,54.769210446506136,70,75,30,25,50,,,62.38712260004557
1770189300,25485.5,25499,25481.25,25490.75,25456.49840734701,25465.627429548033,26027.75,25218,73.90198028152324,55.93639335077626,70,75,30,25,50,,,63.52308222853204
1770190200,25490.75,25508.75,25475.5,25504.75,25462.931953034076,25473.451943638425,26027.75,25218,77.22132229453123,57.33611486996236,70,75,30,25,50,,,66.43430474467203
1770191100,25505.25,25514.5,25499.5,25502.75,25468.241025962867,25479.31155491074,26027.75,25218,77.6885231985194,58.44176461530482,70,75,30,25,50,,,65.62848796003084
1770192000,25502.25,25509.75,25458.25,25492.25,25471.44222250115,25481.89924392859,26027.75,25218,71.9226549976513,58.83841313057282,70,75,30,25,50,,,61.41662847981478
1770192900,25492.75,25494.5,25408.75,25412.75,25463.616592834333,25468.069395142873,26027.75,25218,50.00051953892437,56.36907257832778,70,75,30,25,50,,,40.31835898873504
1770193800,25412.5,25452.75,25401,25450.75,25461.901047123087,25464.605516114298,26027.75,25218,47.7772759795029,55.42469019560536,70,75,30,25,50,,,49.286204707909604
1770194700,25450.5,25455.5,25414.75,25425.5,25457.047574173343,25456.784412891437,26027.75,25218,43.055334213480876,53.96822590521847,70,75,30,25,50,,,44.5012080177037
1770195600,25426,25449.25,25408.5,25413.5,25451.24123095023,25448.127530313148,26027.75,25218,39.14597557781975,52.42508341135441,70,75,30,25,50,,,42.394657201238026
1770196500,25414,25416.25,25358,25381.75,25441.9757334902,25434.85202425052,26027.75,25218,33.67475782072087,50.41588202111438,70,75,30,25,50,,,37.35607298455419
1770197400,25382.5,25398.25,25355,25373.25,25432.812302358172,25422.531619400415,26027.75,25218,30.111620619725038,48.50955848208216,70,75,30,25,50,,,36.11845547837278
1770198300,25374.5,25407.25,25367.75,25402.5,25428.77066204375,25418.525295520332,26027.75,25218,35.332633851091444,47.7888141549858,70,75,30,25,50,,,43.10397602885944
1770199200,25402.5,25440.5,25395,25421.25,25427.767907104582,25419.070236416264,26027.75,25218,41.65261035128229,47.69664275556522,70,75,30,25,50,,,47.097528659331445
1770200100,25420.75,25448.5,25418.25,25443.5,25429.86551949064,25423.956189133012,26027.75,25218,48.64506222487128,48.19738996879769,70,75,30,25,50,,,51.45224685480869
1770201000,25443.75,25466.75,25436.5,25444.5,25431.816783558552,25428.06495130641,26027.75,25218,52.31132243494213,48.657058264318394,70,75,30,25,50,,,51.644902185203
1770201900,25444.5,25460.5,25434.5,25449.5,25434.174545750746,25432.351961045126,26027.75,25218,55.08658689363221,49.190322958498264,70,75,30,25,50,,,52.65654347066741
1770202800,25450.25,25459.5,25436,25444.5,25435.55127298398,25434.7815688361,26027.75,25218,55.09822953820273,49.49778800794259,70,75,30,25,50,,,51.49631082933072
1770203700,25444.25,25462.75,25439.5,25448.75,25437.31110325278,25437.57525506888,26027.75,25218,56.114988390154934,49.892118539062324,70,75,30,25,50,,,52.455266991340594
1770204600,25449.25,25479.25,25445,25462.75,25440.70295615241,25442.610204055105,26027.75,25218,59.78609154342279,50.64935107213762,70,75,30,25,50,,,55.571362537127044
1770205500,25463,25483.5,25455,25474.25,25445.17589533209,25448.938163244085,26027.75,25218,63.885261843784136,51.63024874755658,70,75,30,25,50,,,58.00608363777979
1770206400,25474.25,25491,25438,25461,25447.28577595448,25451.350530595268,26027.75,25218,61.08219384951064,51.98794509799113,70,75,30,25,50,,,54.31297137581571
1770207300,25460.5,25466,25420.25,25431,25445.114339160547,25447.280424476216,26027.75,25218,51.70125040020173,51.32480174970688,70,75,30,25,50,,,47.014369985859226
1770208200,25430.5,25448.25,25397.25,25415.5,25441.165760605807,25440.92433958097,26027.75,25218,44.01289324555752,50.31397884188274,70,75,30,25,50,,,43.7436299410258
1770209100,25416.5,25427.5,25396.25,25406,25436.476992525033,25433.939471664777,26027.75,25218,38.49802028061296,49.18186891473771,70,75,30,25,50,,,41.82315438829508
1770210000,25406.5,25417,25373.75,25390,25430.28006018836,25425.15157733182,26027.75,25218,33.21608306822729,47.78940980208887,70,75,30,25,50,,,38.73842556987141
1770210900,25392.25,25409,25369.5,25393.25,25425.342718829914,25418.771261865455,26027.75,25218,31.83649906689603,46.712307156115926,70,75,30,25,50,,,39.711139957291806
1770211800,25391.75,25417,25373.75,25393,25421.030356319257,25413.617009492365,26027.75,25218,31.099015114604715,45.77186285030493,70,75,30,25,50,,,39.658974862533434
1770212700,25392.75,25393,25342.25,25358.25,25412.659642143357,25402.543607593892,26027.75,25218,25.61721012718197,44.087881476023206,70,75,30,25,50,,,33.14200254319201
1770213600,25357.75,25360.75,25325,25348.75,25404.138356524243,25391.784886075115,26027.75,25218,21.89970175585675,42.4245122785593,70,75,30,25,50,,,31.61261249504392
1770214500,25349,25389.25,25333.5,25385.5,25401.653242321012,25390.52790886009,26027.75,25218,32.49729613151143,42.45322819131559,70,75,30,25,50,,,42.63988162423147
1770215400,25385,25386.5,25230,25333.25,25392.532810011544,25379.072327088074,26027.75,25218,30.56525381633439,41.35239172981321,70,75,30,25,50,,,34.196954730047764
1770216300,25330.25,25371.75,25186,25199.5,25366.795102010004,25343.157861670457,26027.75,25218,22.433123448902293,38.78832008722993,70,75,30,25,50,,,22.121854410438587
1770217200,25196.75,25260.75,25107.75,25217.5,25346.889088408672,25318.026289336365,26027.75,25218,21.489239797607944,37.071653106107576,70,75,30,25,50,,,25.913317728812288
1770218100,25218.25,25305.75,25180,25248.25,25333.737209954183,25304.07103146909,26027.75,25218,26.05498811525776,36.39590763583812,70,75,30,25,50,,,32.00356207908669
1770219000,25248.25,25271,25119.5,25211.25,25317.40558196029,25285.506825175275,26027.75,25218,26.02429549574844,35.39947787017956,70,75,30,25,50,,,28.922684393398896
1770219900,25211.5,25221.5,25131.25,25152.25,25295.38483769892,25258.85546014022,26027.75,25218,23.157013203809544,33.98883242027005,70,75,30,25,50,,,24.81963699585826
1770220800,25152.5,25171.5,25052.25,25111.25,25270.83352600573,25229.334368112177,26027.75,25218,20.19115994678981,32.4486599240071,70,75,30,25,50,,,22.43753869829797
1770221700,25111.5,25139.75,25041.75,25130.75,25252.155722538297,25209.617494489743,26027.75,25218,21.908502883334393,31.59840520647096,70,75,30,25,50,,,26.071749542486046
1770222600,25130.75,25137,24975,24978.75,25215.701626199858,25163.443995591795,26027.75,25218,17.890001305890102,29.880202648198587,70,75,30,25,50,,,18.71188601942815
1770223500,24978.75,25043.75,24928,25035.75,25191.70807603988,25137.905196473435,26027.75,25218,22.469334480740006,29.50025590272299,70,75,30,25,50,,,27.030602057131617
1770224400,25035.75,25057.5,24983.75,25031,25170.280332567894,25116.52415717875,26027.75,25218,24.560782513664478,29.138170011908976,70,75,30,25,50,,,26.78461172161788
1770225300,25031,25042.75,24873.75,24889,25132.77628822551,25071.019325743,26027.75,25218,21.09876883082977,28.015130004368075,70,75,30,25,50,,,20.71536995535223
