time,open,high,low,close,EMA Fast,EMA Slow,LongSignal,ShortSignal
1770370080,24691.646961258757,24726,24691.646961258757,24717.5625,24637.66738043998,24600.315488804965,1,
1770370200,24704.604730629377,24747.25,24704.604730629377,24732,24646.243073127254,24605.4795872832,1,
1770370320,24718.30236531469,24765.25,24718.30236531469,24750,24655.675521024776,24611.147054448564,1,
1770370440,24734.151182657344,24779.5,24734.151182657344,24767.875,24665.875473658885,24617.293248391758,1,
1770370560,24751.01309132867,24780,24751.01309132867,24767.8125,24675.142476053534,24623.1959641411,1,
1770370680,24759.412795664335,24783.25,24758.5,24769.5625,24683.726114594123,24628.93582829243,1,
1770370800,24764.487647832168,24782,24764.487647832168,24772.75,24691.819195085565,24634.575599731943,1,
1770370920,24768.618823916084,24773.25,24751.75,24764.6875,24698.443586441423,24639.678027193437,1,
1770371040,24766.653161958042,24777,24752.25,24763.0625,24704.318033128566,24644.516633970165,1,
1770371160,24764.85783097902,24764.85783097902,24735,24749.9375,24708.465257389606,24648.65078557918,1,
1770371280,24757.39766548951,24766.5,24743.5,24750.9375,24712.326370354185,24652.662029281957,1,
1770371400,24754.167582744754,24757.25,24744,24750.75,24715.819427594713,24656.508616368938,1,
1770371520,24752.458791372377,24769.25,24751.25,24760.3125,24719.86425235883,24660.57935690349,1,
1770371640,24756.38564568619,24771.25,24755.5,24763.6875,24723.848183962575,24664.62281349551,1,
1770371760,24760.036572843095,24762,24742,24752.125,24726.41880360234,24668.054271789802,1,
1770371880,24756.080786421546,24756.080786421546,24740.25,24747.5,24728.335276002126,24671.169790543143,1,
1770372000,24751.790393210773,24751.790393210773,24731,24742.125,24729.588887274662,24673.952347776743,1,
1770372120,24746.957696605386,24746.957696605386,24726.25,24733.0625,24729.904670249693,24676.270392961967,1,
1770372240,24740.010098302693,24740.010098302693,24713.5,24724.5,24729.41333659063,24678.161750100713,1,
1770372360,24732.255049151347,24733,24714.75,24723.1875,24728.847351446027,24679.92746578304,1,
1770372480,24727.721274575673,24739.5,24716.25,24729.8125,24728.935092223663,24681.883741634683,1,
1770372600,24728.766887287835,24741.25,24728.766887287835,24736.125,24729.58872020333,24684.010849805873,1,
1770372720,24732.445943643917,24738,24728.5,24733.75,24729.967018366664,24685.961404715446,1,
1770372840,24733.09797182196,24741,24722.75,24733.9375,24730.327971242423,24687.8428202168,1,
1770372960,24733.51773591098,24741,24729.25,24734.75,24730.72997385675,24689.6823174632,1,
1770373080,24734.13386795549,24734.13386795549,24721.25,24729.375,24730.606794415227,24691.23889324896,1,
1770373200,24731.754433977745,24753,24727.5,24739.4375,24731.409585832025,24693.129034690177,1,
1770373320,24735.595966988873,24748,24725.5,24737.375,24731.951896210932,24694.86417058468,1,
1770373440,24736.485483494434,24736.485483494434,24723,24728.3125,24731.621042009938,24696.175869777435,1,
1770373560,24732.398991747217,24736.25,24721,24727.8125,24731.274810918127,24697.416521943025,1,
1770373680,24730.10574587361,24730.10574587361,24715,24723.1875,24730.53960083466,24698.427148533494,,
1770373800,24726.646622936805,24726.646622936805,24712,24717.625,24729.36554621333,24699.18000545375,,
1770373920,24722.135811468404,24726.25,24711.25,24719,24728.423223830298,24699.957260141837,,
1770374040,24720.567905734202,24739,24720.567905734202,24731.25,24728.68020348209,24701.184426410786,1,
1770374160,24725.908952867103,24744.5,24725.908952867103,24739.5625,24729.669503165536,24702.68944890448,1,
1770374280,24732.73572643355,24744,24732.73572643355,24740.75,24730.67682105958,24704.182019535674,1,
1770374400,24736.742863216776,24763.75,24736.742863216776,24752.75,24732.683473690526,24706.08664622055,1,
1770374520,24744.746431608386,24766.25,24744.746431608386,24758.75,24735.05315790048,24708.151875780528,1,
1770374640,24751.748215804193,24758.25,24738.75,24749.875,24736.400598091343,24709.78807673031,1,
1770374760,24750.8116079021,24760.25,24743.5,24751.6875,24737.790316446673,24711.431191368338,1,
1770374880,24751.24955395105,24767.25,24751.24955395105,24760.625,24739.866196769704,24713.360360334285,1,
1770375000,24755.937276975525,24772,24755.937276975525,24765.125,24742.162451608823,24715.39034620353,1,
1770375120,24760.531138487764,24776.75,24760.531138487764,24769.1875,24744.619274189838,24717.500038509275,1,
1770375240,24764.859319243882,24788.5,24764.859319243882,24780.1875,24747.85274926349,24719.958370332442,1,
1770375360,24772.523409621943,24787.5,24772.523409621943,24783.75,24751.116135694083,24722.460002868425,1,
1770375480,24778.13670481097,24798.5,24777.75,24788.8125,24754.543077903712,24725.06206157947,1,
1770375600,24783.474602405484,24827.25,24783.474602405484,24808.8125,24759.47666173065,24728.346392497922,1,
1770375720,24796.143551202742,24830.5,24796.143551202742,24822.625,24765.217419755136,24732.04359279212,1,
1770375840,24809.38427560137,24826.5,24808,24819.75,24770.174927050124,24735.48305974145,1,
1770375960,24814.567137800685,24827.25,24795.75,24812.125,24773.988570045567,24738.4886260261,1,
1770376080,24813.34606890034,24813.34606890034,24797.25,24803.3125,24776.654381859607,24741.03073873096,1,
1770376200,24808.32928445017,24824,24804.5,24814.1875,24780.066483508734,24743.899631329743,1,
1770376320,24811.258392225085,24828.25,24806.25,24817.0625,24783.42975773521,24746.76876343446,1,
