Timeframe,Strategy,Params,Exit,Contracts,ATR_Period,Trades,Wins,Losses,Win_Rate,PnL,Profit_Factor,Avg_Win,Avg_Loss,Max_DD,Max_Daily_DD,Costs,Final_Equity
5min,RSI_Reversion,rsi_period=9|rsi_buy=25|rsi_sell=75,SL75_TP200_Tr1.5,1,5,140,37,103,26.43,-3375.93,0.52,100.68,68.94,3514.8,633.92,453.6,146624.07
5min,Bollinger,bb_period=20|bb_std=1.5,SL75_TP150,3,5,598,238,360,39.8,-3376.5,0.96,338.14,232.93,13221.94,2139.48,5812.56,146623.5
5min,Bollinger,bb_period=20|bb_std=1.5,SL75_TP150,3,10,598,238,360,39.8,-3376.5,0.96,338.14,232.93,13221.94,2139.48,5812.56,146623.5
5min,Bollinger,bb_period=20|bb_std=1.5,SL75_TP150,3,14,598,238,360,39.8,-3376.5,0.96,338.14,232.93,13221.94,2139.48,5812.56,146623.5
2min,Bollinger,bb_period=10|bb_std=2.0,SL100_TP300,1,5,910,407,503,44.73,-3380.43,0.92,99.11,86.92,4809.95,2008.32,2948.4,146619.57
2min,Bollinger,bb_period=10|bb_std=2.0,SL100_TP300,1,10,910,407,503,44.73,-3380.43,0.92,99.11,86.92,4809.95,2008.32,2948.4,146619.57
2min,Bollinger,bb_period=10|bb_std=2.0,SL100_TP300,1,14,910,407,503,44.73,-3380.43,0.92,99.11,86.92,4809.95,2008.32,2948.4,146619.57
2min,Confluence,rsi_period=14|bb_period=20|fast_ema=8|slow_ema=34,SL100_TP200,1,5,664,254,410,38.25,-3382.37,0.89,110.64,76.79,5493.32,1544.36,2151.36,146617.63
2min,Confluence,rsi_period=14|bb_period=20|fast_ema=8|slow_ema=34,SL100_TP200,1,10,664,254,410,38.25,-3382.37,0.89,110.64,76.79,5493.32,1544.36,2151.36,146617.63
2min,Confluence,rsi_period=14|bb_period=20|fast_ema=8|slow_ema=34,SL100_TP200,1,14,664,254,410,38.25,-3382.37,0.89,110.64,76.79,5493.32,1544.36,2151.36,146617.63
3min,RSI_Reversion,rsi_period=14|rsi_buy=20|rsi_sell=80,SL75_Trail1.5x,5,14,27,5,22,18.52,-3382.64,0.49,655.32,302.69,3382.64,1188.6,437.4,146617.36
3min,RSI_Reversion,rsi_period=5|rsi_buy=25|rsi_sell=75,SL100_TP300,3,5,405,161,244,39.75,-3384.7,0.96,448.24,309.63,11550.08,2189.04,3936.6,146615.3
3min,RSI_Reversion,rsi_period=5|rsi_buy=25|rsi_sell=75,SL100_TP300,3,10,405,161,244,39.75,-3384.7,0.96,448.24,309.63,11550.08,2189.04,3936.6,146615.3
3min,RSI_Reversion,rsi_period=5|rsi_buy=25|rsi_sell=75,SL100_TP300,3,14,405,161,244,39.75,-3384.7,0.96,448.24,309.63,11550.08,2189.04,3936.6,146615.3
2min,RSI_Reversion,rsi_period=9|rsi_buy=20|rsi_sell=80,SL75_TP200_Tr1.5,1,10,172,44,128,25.58,-3385.28,0.45,63.05,48.12,3483.19,723.15,557.28,146614.72
5min,RSI_Reversion,rsi_period=7|rsi_buy=25|rsi_sell=75,SL100_Trail2x,5,14,195,65,130,33.33,-3387.53,0.94,819.0,435.56,13610.65,2478.12,3159.0,146612.47
5min,RSI_Reversion,rsi_period=5|rsi_buy=15|rsi_sell=85,SL50_TP100,5,5,148,49,99,33.11,-3387.6,0.87,478.8,271.2,5022.0,2169.6,2397.6,146612.4
5min,RSI_Reversion,rsi_period=5|rsi_buy=15|rsi_sell=85,SL50_TP100,5,10,148,49,99,33.11,-3387.6,0.87,478.8,271.2,5022.0,2169.6,2397.6,146612.4
5min,RSI_Reversion,rsi_period=5|rsi_buy=15|rsi_sell=85,SL50_TP100,5,14,148,49,99,33.11,-3387.6,0.87,478.8,271.2,5022.0,2169.6,2397.6,146612.4
2min,RSI_Reversion,rsi_period=9|rsi_buy=30|rsi_sell=70,SL100_Trail2x,1,5,589,197,392,33.45,-3387.73,0.87,115.14,66.51,5222.42,1029.9,1908.36,146612.27
5min,Momentum,lookback=5|atr_mult=2.0,SL50_TP150,1,14,270,56,214,20.74,-3387.8,0.71,145.76,53.97,3387.8,667.84,874.8,146612.2
5min,Bollinger,bb_period=20|bb_std=2.5,SL75_Trail1.5x,1,14,190,63,127,33.16,-3388.21,0.6,79.81,66.27,3519.44,770.8,615.6,146611.79
3min,RSI_Reversion,rsi_period=14|rsi_buy=30|rsi_sell=70,SL75_TP200_Tr1.5,1,14,182,52,130,28.57,-3388.5,0.5,64.02,51.67,3388.5,532.75,589.68,146611.5
5min,VWAP_Reversion,vwap_dist=2.5,SL75_TP150,3,5,355,120,235,33.8,-3390.6,0.94,437.28,237.72,9145.32,2215.8,3450.6,146609.4
3min,RSI_Reversion,rsi_period=5|rsi_buy=15|rsi_sell=85,SL50_TP150_Tr1x,1,14,236,55,181,23.31,-3391.49,0.48,56.85,36.01,3601.57,473.22,764.64,146608.51
3min,Momentum,lookback=5|atr_mult=2.0,SL100_TP300,5,5,215,63,152,29.3,-3393.06,0.95,1059.91,461.63,8456.86,2284.19,3483.0,146606.94
1min,RSI_Reversion,rsi_period=9|rsi_buy=20|rsi_sell=80,SL50_TP150_Tr1x,1,14,307,89,218,28.99,-3394.8,0.39,24.88,25.73,3396.69,473.12,994.68,146605.2
2min,Bollinger,bb_period=10|bb_std=2.5,SL100_TP200,5,5,313,129,184,41.21,-3395.69,0.96,638.33,465.98,12727.91,2412.2,5070.6,146604.31
2min,Bollinger,bb_period=10|bb_std=2.5,SL100_TP200,5,10,313,129,184,41.21,-3395.69,0.96,638.33,465.98,12727.91,2412.2,5070.6,146604.31
2min,Bollinger,bb_period=10|bb_std=2.5,SL100_TP200,5,14,313,129,184,41.21,-3395.69,0.96,638.33,465.98,12727.91,2412.2,5070.6,146604.31
5min,RSI_Reversion,rsi_period=9|rsi_buy=30|rsi_sell=70,SL50_TP100,3,5,267,89,178,33.33,-3396.24,0.88,287.28,162.72,8429.04,1952.64,2595.24,146603.76
5min,RSI_Reversion,rsi_period=9|rsi_buy=30|rsi_sell=70,SL50_TP100,3,10,267,89,178,33.33,-3396.24,0.88,287.28,162.72,8429.04,1952.64,2595.24,146603.76
5min,RSI_Reversion,rsi_period=9|rsi_buy=30|rsi_sell=70,SL50_TP100,3,14,267,89,178,33.33,-3396.24,0.88,287.28,162.72,8429.04,1952.64,2595.24,146603.76
2min,Momentum,lookback=5|atr_mult=2.5,SL100_TP200,1,5,276,83,193,30.07,-3400.25,0.82,183.63,96.59,4879.74,1167.88,894.24,146599.75
5min,Stochastic,k_per=5|d_per=5|ob=80|os_level=20,SL100_TP300,1,5,97,18,79,18.56,-3402.28,0.59,268.48,104.24,4027.0,729.68,314.28,146597.72
5min,Stochastic,k_per=5|d_per=5|ob=80|os_level=20,SL100_TP300,1,10,97,18,79,18.56,-3402.28,0.59,268.48,104.24,4027.0,729.68,314.28,146597.72
5min,Stochastic,k_per=5|d_per=5|ob=80|os_level=20,SL100_TP300,1,14,97,18,79,18.56,-3402.28,0.59,268.48,104.24,4027.0,729.68,314.28,146597.72
2min,RSI_Reversion,rsi_period=9|rsi_buy=20|rsi_sell=80,SL75_TP200_Tr1.5,1,14,174,53,121,30.46,-3406.92,0.44,51.51,50.72,3521.34,676.31,563.76,146593.08
3min,Bollinger,bb_period=15|bb_std=2.0,SL50_TP150,1,5,681,212,469,31.13,-3408.45,0.86,100.76,52.81,3901.57,848.8,2206.44,146591.55
3min,Bollinger,bb_period=15|bb_std=2.0,SL50_TP150,1,10,681,212,469,31.13,-3408.45,0.86,100.76,52.81,3901.57,848.8,2206.44,146591.55
3min,Bollinger,bb_period=15|bb_std=2.0,SL50_TP150,1,14,681,212,469,31.13,-3408.45,0.86,100.76,52.81,3901.57,848.8,2206.44,146591.55
