symbol,contracts,hard_stop,ema_fast,ema_slow,stoch_lo,stoch_hi,sl_atr_mult,tp_rr,starting_equity,final_equity,total_pnl,total_return_pct,total_trades,win_count,loss_count,win_rate,avg_win,avg_loss,avg_trade,profit_factor,gross_profit,gross_loss,total_fees,fee_per_trade,max_drawdown_pct,max_drawdown_dollars,max_daily_loss,max_daily_profit,avg_daily_pnl,sharpe_ratio,trading_days,rt_cost_per_trade
MES,2,100,21,55,25,75,2.0,2.0,10000.0,26919.618378477062,16919.618378476654,169.19618378477062,890,396,494,44.49438202247191,185.45401143159938,-114.4132998956216,19.0108071668277,1.299355404168836,73439.78852691334,56520.17014843669,12869.399999999736,14.459999999999702,13.063571560081508,1475.9599999999773,-1187.9800000000002,1255.3999999999999,139.83155684691135,5.62130854306236,121,14.46
MES,2,100,21,55,25,75,2.5,2.0,10000.0,26745.060000000776,16745.06000000037,167.45060000000777,889,395,494,44.43194600674916,185.54000000000002,-114.46000000000001,18.835838020247884,1.2961460998697718,73288.3,56543.239999999634,12854.939999999737,14.459999999999704,13.063571560081508,1475.9599999999773,-1187.9800000000002,1255.3999999999999,138.3889256198346,5.522377675755366,121,14.46
MES,3,100,21,55,25,75,1.5,1.8,10000.0,26648.858822773414,16648.858822774167,166.48858822773414,1103,539,564,48.866727107887584,158.17762885185073,-121.64695590137154,15.094160310765337,1.2426633121489898,85257.74195114699,68608.88312837304,23924.069999999672,21.689999999999703,16.889761606781324,1957.7399999999543,-1070.4200000000094,1181.4100000001135,135.3565757949107,5.393668237388225,123,21.689999999999998
MES,2,100,21,55,25,75,1.5,1.8,10000.0,26482.56714162825,16482.567141627824,164.82567141628252,921,437,484,47.44842562432139,163.62101990160053,-113.67731106481816,17.896381261267994,1.2995750908382206,71502.3856969995,55019.818555371625,13317.659999999709,14.459999999999685,12.260417342648477,1549.4799999999668,-927.9800000000002,1095.3999999999999,135.103009357602,5.99273172334244,122,14.46
MES,3,100,21,55,25,75,2.0,1.8,10000.0,26379.310000004156,16379.31000000495,163.79310000004156,1101,537,564,48.77384196185286,158.31000000001362,-121.69000000000457,14.876757493192507,1.2386500927540594,85012.47000000675,68633.16000000207,23880.689999999675,21.689999999999706,16.889761606781324,1957.7399999999543,-1070.4200000000094,1181.4100000001135,133.1651219512582,5.288282649902329,123,21.689999999999998
MES,3,100,21,55,25,75,2.5,1.8,10000.0,26379.310000004156,16379.31000000495,163.79310000004156,1101,537,564,48.77384196185286,158.31000000001362,-121.69000000000457,14.876757493192507,1.2386500927540594,85012.47000000675,68633.16000000207,23880.689999999675,21.689999999999706,16.889761606781324,1957.7399999999543,-1070.4200000000094,1181.4100000001135,133.1651219512582,5.288282649902329,123,21.689999999999998
MES,2,80,21,55,25,75,1.5,2.5,10000.0,26285.1624923668,16285.162492366217,162.85162492366797,968,385,583,39.77272727272727,185.14397265489103,-94.33150425345988,16.823514971452703,1.2961193460222302,71280.42947213312,54995.26697976667,13997.279999999668,14.459999999999656,18.6892984278938,1901.079173945045,-1042.4400000000003,1295.3999999999999,132.3996950598858,5.663524568658164,123,14.46
MES,2,80,21,55,25,75,2.0,2.5,10000.0,26193.250552559966,16193.250552559377,161.93250552559965,964,383,581,39.73029045643153,185.54000000000002,-94.43815739662804,16.797977751617612,1.295127988858383,71061.82000000008,54868.56944744045,13939.439999999671,14.45999999999966,18.57428514690207,1889.37999999991,-1042.4400000000003,1295.3999999999999,131.65244351674076,5.620218096427289,123,14.46
MES,2,80,21,55,25,75,2.5,2.5,10000.0,26180.56000000084,16180.560000000252,161.8056000000084,964,383,581,39.73029045643153,185.54000000000002,-94.46000000000002,16.78481327800856,1.2948285079460755,71061.82000000008,54881.25999999957,13939.439999999671,14.45999999999966,18.57428514690207,1889.37999999991,-1042.4400000000003,1295.3999999999999,131.54926829268283,5.6144975657610345,123,14.46
MES,2,100,21,55,25,75,2.5,1.8,10000.0,25846.940000000795,15846.940000000372,158.46940000000797,911,429,482,47.09110867178924,165.54000000000002,-114.46000000000002,17.395104281010287,1.28723981198383,71016.66000000009,55169.719999999645,13173.059999999718,14.45999999999969,13.168680692024548,1549.4799999999668,-927.9800000000002,1095.3999999999999,130.96644628099162,5.729022918956183,121,14.46
MES,2,100,21,55,25,75,2.0,1.8,10000.0,25839.363525785746,15839.363525785324,158.39363525785745,911,429,482,47.09110867178924,165.46856334317488,-114.4121372374213,17.386787624352717,1.2872225871045844,70986.01367422211,55146.6501484367,13173.059999999718,14.45999999999969,13.114614773475717,1549.4799999999668,-927.9800000000002,1095.3999999999999,130.90383079161106,5.7272858013388035,121,14.46
MES,1,100,21,55,25,75,2.0,1.5,10000.0,25213.9834796243,15213.983479624265,152.13983479624304,615,329,286,53.49593495934959,134.4542961729336,-101.47370615829038,24.738184519714252,1.5242318275955273,44235.46344089499,29021.47996127095,4446.449999999988,7.229999999999981,11.772886740834823,1231.897209230845,-643.9900000000001,980.7127456737119,128.262190505289,7.223314744376186,118,7.23
MES,4,80,21,55,25,75,1.5,2.5,10000.0,24785.400000001082,14785.39999999993,147.8540000000108,1255,541,714,43.10756972111554,171.07999999999996,-108.91999999999999,11.78119521912345,1.1901197496993903,92554.28000000077,77768.87999999903,36294.599999998834,28.91999999999907,19.338525527869,2303.840000000004,-918.1199999999999,1228.36,120.20650406504056,4.723156279550638,123,28.92
